,data_sign,sample_num,n,oa,aa,kappa
55,Indian,5,0,75.03195987806077,85.57091530337631,72.07465402149793
63,Indian,5,1,73.79289999016619,84.07287803460419,70.64172083264444
16,Indian,5,2,76.34969023502802,85.33735440666136,73.42406375726675
15,Indian,5,3,73.99940997148195,84.27493705124014,70.87326349583223
61,Indian,5,4,76.63487068541646,85.30778249358362,73.73435168542721
76,Indian,10,0,88.42303498860144,94.54566861407736,86.91972252249472
2,Indian,10,1,86.23253047873922,93.87839127383319,84.50451321299094
67,Indian,10,2,87.1741500644266,94.13078565847768,85.52004381442603
29,Indian,10,3,87.76885717117653,93.80937000146868,86.16037567468278
1,Indian,10,4,86.93626722172664,93.97667149218003,85.2569243289827
65,Indian,15,0,90.12888400439604,95.4699417417614,88.82965873777266
73,Indian,15,1,91.15795783794584,95.9771369895217,89.98714408878745
0,Indian,15,2,90.33869517434309,95.70087736275084,89.07381834725994
43,Indian,15,3,90.61844340093916,95.66371976030675,89.37765853778947
50,Indian,15,4,90.4585872714557,95.62296925824583,89.1983851969547
39,Indian,20,0,93.25887916289365,96.09807202631634,92.31572519040279
41,Indian,20,1,94.1342187342791,96.38101454262707,93.30595520690923
25,Indian,20,2,93.55065902002212,96.43562346193087,92.6504209053353
53,Indian,20,3,93.32930878357983,96.20593339150491,92.40101573998435
35,Indian,20,4,93.20857229097494,96.12783172822346,92.26562583492695
36,Indian,25,0,93.86658556366586,96.53513254841258,93.00809277421493
69,Indian,25,1,93.32927818329279,96.64790001647394,92.40980525283774
60,Indian,25,2,93.42051905920519,96.50119907139904,92.5069714550307
23,Indian,25,3,93.3698296836983,96.38643724584072,92.44510404480536
77,Indian,25,4,92.76155717761557,96.39221064100325,91.7623608956784
19,Indian,30,0,95.34931157572667,97.08810327674276,94.67210973231792
12,Indian,30,1,95.60428352881183,97.23381854563803,94.96472457703355
24,Indian,30,2,95.61448240693524,97.25305689808374,94.97327711059559
3,Indian,30,3,95.4003059663437,97.22840755516049,94.73004207619363
13,Indian,30,4,95.59408465068843,97.3468146672268,94.95022597052089
10,pavia,5,0,80.84294774285648,89.2992407128341,76.03162459825553
66,pavia,5,1,78.0534038520044,88.38016505693611,72.80287440794069
46,pavia,5,2,81.71116987667033,90.18543594624737,77.13135234919531
80,pavia,5,3,81.65266434204675,89.43428613989542,76.9842942255322
64,pavia,5,4,79.1579883456975,88.32183213664976,74.11527775466804
62,pavia,10,0,92.86417092255071,91.56753049420917,90.59635092980317
22,pavia,10,1,92.30192568992175,92.21921468549118,89.91131531630039
82,pavia,10,2,93.06095675397086,92.49830614715394,90.88044932413004
